iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BHR,Asia,Bahrain,2/7/2022,244880.298,4027.924,808.788,1.716,15.115,0.2895,3.5,units unclear,70.17,68.45,54.24,50.93,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
BGD,Asia,Bangladesh,2/1/2022,10895.664,79.096,170.922,0.186,0.268,0.3081,3.2,tests performed,58.5,37.5,0.9,68.52,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,2/2/2022,10968.982,73.318,171.139,0.216,0.264,0.3018,3.3,tests performed,,,,68.52,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,2/3/2022,11038.71,69.728,171.337,0.198,0.26,0.2925,3.4,tests performed,,,,68.52,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,2/4/2022,11093.14,54.431,171.518,0.18,0.254,0.2776,3.6,tests performed,,,,68.52,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,2/5/2022,11143.404,50.264,171.734,0.216,0.255,0.2692,3.7,tests performed,,,,68.52,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,2/6/2022,11193.583,50.179,171.909,0.174,0.252,0.26,3.8,tests performed,,,,68.52,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,2/7/2022,11249.92,56.337,172.137,0.228,0.251,0.2466,4.1,tests performed,,,,68.52,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BRB,North America,Barbados,2/1/2022,157159.342,2731.937,976.685,3.476,,,,,,,,59.26,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BRB,North America,Barbados,2/2/2022,159526.325,2366.983,980.16,3.476,,,,,,,,59.26,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BRB,North America,Barbados,2/3/2022,161643.055,2116.729,983.636,3.476,,,,,55.24,51.26,,59.26,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BRB,North America,Barbados,2/4/2022,163791.066,2148.011,994.063,10.427,,,,,55.26,51.3,,59.26,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BRB,North America,Barbados,2/5/2022,166060.728,2269.662,994.063,0,,,,,55.27,51.32,,59.26,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BRB,North America,Barbados,2/6/2022,167666.523,1605.795,994.063,0,,,,,55.29,51.34,,59.26,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BRB,North America,Barbados,2/7/2022,169122.861,1456.338,994.063,0,,,,,55.31,51.37,,59.26,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BLR,Europe,Belarus,2/1/2022,78881.869,203.116,642.496,1.589,3.359,0.066,15.1,tests performed,,,,23.15,9442867,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823
BLR,Europe,Belarus,2/2/2022,79266.71,384.841,644.296,1.8,3.518,0.0705,14.2,tests performed,,,,23.15,9442867,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823
